event_id,doctor_id,department,logged_time,resolved_time
a32b5373-9512-46c9-af94-b784e8d67964,DOC_GEN_2,General Physician,2026-08-05 13:05:54.035134,2026-08-05 13:40:01.149812
8cf7ac67-9eab-4e6a-96b3-5cb10a23fa1f,DOC_CAR_1,Cardiology,2026-08-05 12:26:17.715947,2026-08-05 12:52:25.248536
0e613ba1-6078-45bc-a613-9b72d4153d56,DOC_GEN_2,General Physician,2026-08-06 10:02:50.112235,2026-08-06 10:39:20.321353
31a24b6b-b284-44fb-956b-eb309fc4892b,DOC_ORT_1,Orthopedics,2026-08-06 12:50:37.475622,2026-08-06 13:16:33.739991
6af97a3c-ad63-4fe7-bca6-977946b32d3e,DOC_GEN_1,General Physician,2026-08-07 15:33:36.844274,2026-08-07 15:58:10.349678
99713cc2-a7b9-4592-8c2f-a45cc5d13299,DOC_GEN_1,General Physician,2026-08-10 15:50:53.548664,2026-08-10 16:19:58.580483
75930d08-fe86-46e1-9e7f-f46268f79127,DOC_ORT_1,Orthopedics,2026-08-10 14:17:24.813531,2026-08-10 15:17:08.406871
a1215732-5f60-4293-a853-e7363f69e2da,DOC_GEN_2,General Physician,2026-08-11 10:39:15.676926,2026-08-11 11:14:49.182151
4644d131-54e3-4493-820d-64ce8caedd10,DOC_CAR_1,Cardiology,2026-08-11 12:59:52.608071,2026-08-11 13:58:11.255156
c3f842c5-e8b8-4087-89e3-293bad409c00,DOC_CAR_2,Cardiology,2026-08-11 11:42:36.719306,2026-08-11 12:38:57.151954
c3317fe9-9f35-495f-be3d-7f87f77fcfb6,DOC_PED_2,Pediatrics,2026-08-11 13:29:06.052192,2026-08-11 14:19:48.995028
59652dd9-600a-4c6e-8f2d-49f3da9b4351,DOC_GEN_1,General Physician,2026-08-12 12:15:17.630951,2026-08-12 13:14:18.490835
abe7be5b-2b81-441a-8036-cda6ee703220,DOC_GEN_1,General Physician,2026-08-13 10:30:23.041422,2026-08-13 11:05:45.691225
f8e0a713-88c8-433d-b33c-2e908b75fddc,DOC_GEN_2,General Physician,2026-08-13 15:54:21.926775,2026-08-13 16:29:52.849208
c783677e-7eaf-423c-a86f-0ae73874aa27,DOC_ORT_1,Orthopedics,2026-08-13 11:36:50.450695,2026-08-13 12:31:36.664980
9b18339c-79de-4b8c-9368-504bbaa6c5c5,DOC_PED_2,Pediatrics,2026-08-13 11:02:30.893168,2026-08-13 11:40:34.466863
1303329f-717f-4495-8e44-f30531b6c265,DOC_GEN_1,General Physician,2026-08-14 10:56:06.346062,2026-08-14 11:29:21.522905
4f736b6d-79f7-4bb8-8fd5-a66514342b61,DOC_GEN_1,General Physician,2026-08-14 10:59:32.458318,2026-08-14 11:35:58.008455
ede1e063-6580-40e9-9c75-4b28d5fb43e2,DOC_GEN_1,General Physician,2026-08-14 12:27:25.331859,2026-08-14 13:24:30.253437
